Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Tue, Nov 14, 2023",7:00p,Indiana Pacers,132,Philadelphia 76ers,126,Wells Fargo Center,/boxscores/202311140PHI.html
"Tue, Nov 14, 2023",7:30p,Orlando Magic,104,Brooklyn Nets,124,Barclays Center,/boxscores/202311140BRK.html
"Tue, Nov 14, 2023",7:30p,San Antonio Spurs,87,Oklahoma City Thunder,123,Paycom Center,/boxscores/202311140OKC.html
"Tue, Nov 14, 2023",8:00p,Dallas Mavericks,110,New Orleans Pelicans,131,Smoothie King Center,/boxscores/202311140NOP.html
"Tue, Nov 14, 2023",9:00p,Portland Trail Blazers,99,Utah Jazz,115,Delta Center,/boxscores/202311140UTA.html
"Tue, Nov 14, 2023",10:00p,Los Angeles Clippers,108,Denver Nuggets,111,Ball Arena,/boxscores/202311140DEN.html
"Tue, Nov 14, 2023",10:00p,Minnesota Timberwolves,104,Golden State Warriors,101,Chase Center,/boxscores/202311140GSW.html
"Tue, Nov 14, 2023",10:30p,Memphis Grizzlies,107,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202311140LAL.html
"Wed, Nov 15, 2023",7:00p,Dallas Mavericks,130,Washington Wizards,117,Capital One Arena,/boxscores/202311150WAS.html
"Wed, Nov 15, 2023",7:30p,New York Knicks,116,Atlanta Hawks,114,State Farm Arena,/boxscores/202311150ATL.html
"Wed, Nov 15, 2023",7:30p,Boston Celtics,117,Philadelphia 76ers,107,Wells Fargo Center,/boxscores/202311150PHI.html
"Wed, Nov 15, 2023",7:30p,Milwaukee Bucks,128,Toronto Raptors,112,Scotiabank Arena,/boxscores/202311150TOR.html
"Wed, Nov 15, 2023",8:00p,Orlando Magic,96,Chicago Bulls,94,United Center,/boxscores/202311150CHI.html
"Wed, Nov 15, 2023",9:00p,Minnesota Timberwolves,115,Phoenix Suns,133,Footprint Center,/boxscores/202311150PHO.html
"Wed, Nov 15, 2023",10:00p,Sacramento Kings,125,Los Angeles Lakers,110,Crypto.com Arena,/boxscores/202311150LAL.html
"Wed, Nov 15, 2023",10:00p,Cleveland Cavaliers,109,Portland Trail Blazers,95,Moda Center,/boxscores/202311150POR.html
"Thu, Nov 16, 2023",7:30p,Brooklyn Nets,115,Miami Heat,122,Kaseya Center,/boxscores/202311160MIA.html
"Thu, Nov 16, 2023",10:00p,Oklahoma City Thunder,128,Golden State Warriors,109,Chase Center,/boxscores/202311160GSW.html
"Fri, Nov 17, 2023",7:00p,Milwaukee Bucks,130,Charlotte Hornets,99,Spectrum Center,/boxscores/202311170CHO.html
"Fri, Nov 17, 2023",7:00p,New York Knicks,120,Washington Wizards,99,Capital One Arena,/boxscores/202311170WAS.html
"Fri, Nov 17, 2023",7:30p,Philadelphia 76ers,126,Atlanta Hawks,116,State Farm Arena,/boxscores/202311170ATL.html
"Fri, Nov 17, 2023",7:30p,Detroit Pistons,100,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,/boxscores/202311170CLE.html
"Fri, Nov 17, 2023",7:30p,Sacramento Kings,129,San Antonio Spurs,120,Frost Bank Center,/boxscores/202311170SAS.html
"Fri, Nov 17, 2023",7:30p,Boston Celtics,108,Toronto Raptors,105,Scotiabank Arena,/boxscores/202311170TOR.html
"Fri, Nov 17, 2023",8:00p,Orlando Magic,103,Chicago Bulls,97,United Center,/boxscores/202311170CHI.html
"Fri, Nov 17, 2023",8:00p,Denver Nuggets,110,New Orleans Pelicans,115,Smoothie King Center,/boxscores/202311170NOP.html
"Fri, Nov 17, 2023",10:00p,Los Angeles Lakers,107,Portland Trail Blazers,95,Moda Center,/boxscores/202311170POR.html
"Fri, Nov 17, 2023",10:00p,Phoenix Suns,131,Utah Jazz,128,Delta Center,/boxscores/202311170UTA.html
"Fri, Nov 17, 2023",10:30p,Houston Rockets,100,Los Angeles Clippers,106,Crypto.com Arena,/boxscores/202311170LAC.html
"Sat, Nov 18, 2023",6:00p,New York Knicks,122,Charlotte Hornets,108,Spectrum Center,/boxscores/202311180CHO.html
"Sat, Nov 18, 2023",7:00p,Minnesota Timberwolves,121,New Orleans Pelicans,120,Smoothie King Center,/boxscores/202311180NOP.html
"Sat, Nov 18, 2023",8:00p,Miami Heat,97,Chicago Bulls,102,United Center,/boxscores/202311180CHI.html
"Sat, Nov 18, 2023",8:00p,Dallas Mavericks,125,Milwaukee Bucks,132,Fiserv Forum,/boxscores/202311180MIL.html
"Sat, Nov 18, 2023",8:00p,Memphis Grizzlies,120,San Antonio Spurs,108,Frost Bank Center,/boxscores/202311180SAS.html
"Sat, Nov 18, 2023",8:30p,Oklahoma City Thunder,130,Golden State Warriors,123,Chase Center,/boxscores/202311180GSW.html
"Sun, Nov 19, 2023",3:00p,Philadelphia 76ers,121,Brooklyn Nets,99,Barclays Center,/boxscores/202311190BRK.html
"Sun, Nov 19, 2023",4:00p,Detroit Pistons,113,Toronto Raptors,142,Scotiabank Arena,/boxscores/202311190TOR.html
"Sun, Nov 19, 2023",5:00p,Orlando Magic,128,Indiana Pacers,116,Gainbridge Fieldhouse,/boxscores/202311190IND.html
"Sun, Nov 19, 2023",6:00p,Denver Nuggets,109,Cleveland Cavaliers,121,Rocket Mortgage Fieldhouse,/boxscores/202311190CLE.html
"Sun, Nov 19, 2023",7:30p,Sacramento Kings,129,Dallas Mavericks,113,American Airlines Center,/boxscores/202311190DAL.html
"Sun, Nov 19, 2023",8:00p,Boston Celtics,102,Memphis Grizzlies,100,FedEx Forum,/boxscores/202311190MEM.html
"Sun, Nov 19, 2023",8:00p,Phoenix Suns,140,Utah Jazz,137,Delta Center,/boxscores/202311190UTA.html
"Sun, Nov 19, 2023",9:00p,Oklahoma City Thunder,134,Portland Trail Blazers,91,Moda Center,/boxscores/202311190POR.html
"Sun, Nov 19, 2023",9:30p,Houston Rockets,104,Los Angeles Lakers,105,Crypto.com Arena,/boxscores/202311190LAL.html
"Mon, Nov 20, 2023",7:00p,Boston Celtics,118,Charlotte Hornets,121,Spectrum Center,/boxscores/202311200CHO.html
"Mon, Nov 20, 2023",7:00p,Denver Nuggets,107,Detroit Pistons,103,Little Caesars Arena,/boxscores/202311200DET.html
"Mon, Nov 20, 2023",7:00p,Milwaukee Bucks,142,Washington Wizards,129,Capital One Arena,/boxscores/202311200WAS.html
"Mon, Nov 20, 2023",8:00p,Miami Heat,118,Chicago Bulls,100,United Center,/boxscores/202311200CHI.html
"Mon, Nov 20, 2023",8:00p,New York Knicks,100,Minnesota Timberwolves,117,Target Center,/boxscores/202311200MIN.html
"Mon, Nov 20, 2023",8:00p,Sacramento Kings,93,New Orleans Pelicans,129,Smoothie King Center,/boxscores/202311200NOP.html
"Mon, Nov 20, 2023",8:00p,Los Angeles Clippers,124,San Antonio Spurs,99,Frost Bank Center,/boxscores/202311200SAS.html
"Mon, Nov 20, 2023",10:00p,Houston Rockets,116,Golden State Warriors,121,Chase Center,/boxscores/202311200GSW.html
"Tue, Nov 21, 2023",7:00p,Toronto Raptors,107,Orlando Magic,126,Kia Center,/boxscores/202311210ORL.html
"Tue, Nov 21, 2023",7:30p,Indiana Pacers,157,Atlanta Hawks,152,State Farm Arena,/boxscores/202311210ATL.html
"Tue, Nov 21, 2023",7:30p,Cleveland Cavaliers,122,Philadelphia 76ers,119,Wells Fargo Center,/boxscores/202311210PHI.html
"Tue, Nov 21, 2023",9:00p,Portland Trail Blazers,107,Phoenix Suns,120,Footprint Center,/boxscores/202311210PHO.html
"Tue, Nov 21, 2023",10:00p,Utah Jazz,99,Los Angeles Lakers,131,Crypto.com Arena,/boxscores/202311210LAL.html
